mode,replications,paths_per_price,spot_bump,mean_delta,sample_variance,standard_deviation,total_runtime_seconds,variance_ratio_vs_common
common,100,50000,1,0.63656773088317431,6.6856155900127665e-06,0.002585655736948128,0.42865244800000002,1
independent,100,50000,1,0.63749250460459572,0.0028051238670599929,0.052963420084620599,0.41874346499999998,419.57600303110405
