paths,threads,repetitions,runtime_1_seconds,runtime_2_seconds,runtime_3_seconds,median_runtime_seconds,throughput_paths_per_second,speedup,parallel_efficiency,mc_price,standard_error
1000000,1,3,0.041875532,0.042002733,0.041867822999999998,0.041875532,23880293.628269605,1,1,10.47234309907218,0.014749618365213544
1000000,2,3,0.023014537000000002,0.029002310999999999,0.036250338,0.029002310999999999,34480010.920509063,1.4438688006621265,0.72193440033106326,10.447815123663711,0.014725478806669133
1000000,4,3,0.020887447,0.026320375999999999,0.027437867000000001,0.026320375999999999,37993378.21009852,1.5909929250250832,0.39774823125627079,10.431760753327969,0.014709364027651351
1000000,8,3,0.017091269999999999,0.013485525999999999,0.010252689000000001,0.013485525999999999,74153577.695078418,3.1052205156847426,0.38815256446059282,10.435398198898598,0.014727251918545497
5000000,1,3,0.209773125,0.210186285,0.20997148700000001,0.20997148700000001,23812757.014956035,1,1,10.448001915755054,0.006584481126286526
5000000,2,3,0.120540629,0.126827679,0.10531602700000001,0.120540629,41479790.187588952,1.7419146452272123,0.87095732261360614,10.441067058555642,0.0065800209915426377
5000000,4,3,0.069391691000000005,0.067333639000000001,0.081962163000000005,0.069391691000000005,72054736.35164763,3.0258880274296818,0.75647200685742044,10.445876930727586,0.0065824384176266914
5000000,8,3,0.043225354000000001,0.050192092000000001,0.047873245000000002,0.047873245000000002,104442470.94593233,4.3859881860943419,0.54824852326179274,10.456017544094431,0.0065886566178124644
10000000,1,3,0.41869826300000001,0.45543214900000001,0.41816346599999998,0.41869826300000001,23883547.852215473,1,1,10.450101093504685,0.0046554478499512015
10000000,2,3,0.22346891099999999,0.21602917399999999,0.22747948700000001,0.22346891099999999,44748953.916010268,1.8736309275700549,0.93681546378502745,10.444880275641388,0.0046528565413629045
10000000,4,3,0.11155786299999999,0.139232683,0.133905948,0.133905948,74679281.61040315,3.1268085492363644,0.78170213730909111,10.441791942790163,0.0046530814858715972
10000000,8,3,0.085149283000000006,0.097131317999999994,0.091059151000000005,0.091059151000000005,109818726.51107849,4.5980910035060614,0.57476137543825767,10.451573684234758,0.0046562725631047082
