paths,threads,mode,observations,mc_price,sample_variance,estimator_variance,standard_error,runtime_1_seconds,runtime_2_seconds,runtime_3_seconds,median_runtime_seconds
1000000,1,standard,1000000,10.47234309907218,217.55124191944466,0.00021755124191944467,0.014749618365213544,0.045999806999999997,0.041889099999999999,0.041810088000000002,0.041889099999999999
1000000,1,antithetic,500000,10.449870597548312,54.344906427087629,0.00010868981285417526,0.010425440655155794,0.025834453,0.025816516000000001,0.025803863999999999,0.025816516000000001
1000000,2,standard,1000000,10.447815123663711,216.83972608566179,0.00021683972608566178,0.014725478806669133,0.022186477999999999,0.02752158,0.022813690000000001,0.022813690000000001
1000000,2,antithetic,500000,10.445160238201067,54.043956756335746,0.00010808791351267151,0.010396533725846875,0.024624047,0.014162829,0.016788345999999999,0.016788345999999999
1000000,4,standard,1000000,10.431760753327969,216.36539009796354,0.00021636539009796355,0.014709364027651351,0.016701219,0.020021463,0.020346375,0.020021463
1000000,4,antithetic,500000,10.457165120849309,54.088514509157406,0.00010817702901831483,0.010400818670581409,0.012469209,0.0091016259999999998,0.012583451000000001,0.012469209
5000000,1,standard,5000000,10.448001915755054,216.7769585121174,4.3355391702423481e-05,0.006584481126286526,0.20923308700000001,0.20897341799999999,0.20949896200000001,0.20923308700000001
5000000,1,antithetic,2500000,10.45316375321784,54.153957696085641,2.1661583078434258e-05,0.0046542005842501307,0.12936988599999999,0.13647610499999999,0.12942093599999999,0.12942093599999999
5000000,2,standard,5000000,10.441067058555642,216.48338124570878,4.3296676249141754e-05,0.0065800209915426377,0.10532944800000001,0.109491739,0.106741906,0.106741906
5000000,2,antithetic,2500000,10.453537125997679,54.129185105544813,2.1651674042217925e-05,0.0046531359363571065,0.074217923000000005,0.072907473,0.066866266999999993,0.072907473
5000000,4,standard,5000000,10.445876930727586,216.64247760923894,4.332849552184778e-05,0.0065824384176266914,0.056802070000000003,0.053537342000000002,0.078039628999999999,0.056802070000000003
5000000,4,antithetic,2500000,10.450877651913238,54.115022921628757,2.1646009168651501e-05,0.0046525271808611178,0.042931063999999998,0.048411061999999998,0.048813454999999999,0.048411061999999998
